day;hour; production 
2012-01-23;20; -   
2012-01-23;21; -   
2012-01-23;22; -   
2012-01-23;23; -   
2012-01-23;24; -   
2012-01-24;1; -   
2012-01-24;2; -   
2012-01-24;3; -   
2012-01-24;4; -   
2012-01-24;5; -   
2012-01-24;6; -   
2012-01-24;7; -   
2012-01-24;8; -   
2012-01-24;9; -   
2012-01-24;10; -   
2012-01-24;11; -   
2012-01-24;12; -   
2012-01-24;13; -   
2012-01-24;14; -   
2012-01-24;15; -   
2012-01-24;16; -   
2012-01-24;17; -   
2012-01-24;18; -   
2012-01-24;19; -   
2012-01-24;20; -   
2012-01-24;21; -   
2012-01-24;22; -   
2012-01-24;23; -   
2012-01-24;24; -   
2012-01-25;1; -   
2012-01-25;2; -   
2012-01-25;3; -   
2012-01-25;4; -   
2012-01-25;5; -   
2012-01-25;6; -   
2012-01-25;7; -   
2012-01-25;8; -   
2012-01-25;9; -   
2012-01-25;10; -   
2012-01-25;11; -   
2012-01-25;12; -   
2012-01-25;13; -   
2012-01-25;14; -   
2012-01-25;15; 0,349 
2012-01-25;16; 0,233 
2012-01-25;17; -   
2012-01-25;18; -   
2012-01-25;19; 0,039 
2012-01-25;20; 0,404 
2012-01-25;21; 0,040 
2012-01-25;22; 0,003 
2012-01-25;23; 0,385 
2012-01-25;24; -   
2012-01-26;1; 0,019 
2012-01-26;2; 0,392 
2012-01-26;3; -   
2012-01-26;4; -   
2012-01-26;5; -   
2012-01-26;6; -   
2012-01-26;7; -   
2012-01-26;8; 0,089 
2012-01-26;9; 0,359 
2012-01-26;10; -   
2012-01-26;11; -   
2012-01-26;12; -   
2012-01-26;13; -   
2012-01-26;14; -   
2012-01-26;15; -   
2012-01-26;16; -   
2012-01-26;17; -   
2012-01-26;18; 0,171 
2012-01-26;19; 0,276 
2012-01-26;20; -   
2012-01-26;21; 0,176 
2012-01-26;22; 0,139 
2012-01-26;23; -   
2012-01-26;24; 0,324 
2012-01-27;1; -   
2012-01-27;2; 0,006 
2012-01-27;3; 0,315 
2012-01-27;4; -   
2012-01-27;5; 0,036 
2012-01-27;6; 0,278 
2012-01-27;7; -   
2012-01-27;8; 0,052 
2012-01-27;9; 0,257 
2012-01-27;10; -   
2012-01-27;11; 0,116 
2012-01-27;12; 0,196 
2012-01-27;13; -   
2012-01-27;14; -   
2012-01-27;15; 0,017 
2012-01-27;16; 0,349 
2012-01-27;17; -   
2012-01-27;18; -   
2012-01-27;19; 0,296 
2012-01-27;20; -   
2012-01-27;21; -   
2012-01-27;22; -   
2012-01-27;23; -   
2012-01-27;24; -   
2012-01-28;1; -   
2012-01-28;2; -   
2012-01-28;3; -   
2012-01-28;4; -   
2012-01-28;5; -   
2012-01-28;6; -   
2012-01-28;7; -   
2012-01-28;8; -   
2012-01-28;9; -   
2012-01-28;10; -   
2012-01-28;11; -   
2012-01-28;12; -   
2012-01-28;13; -   
2012-01-28;14; -   
2012-01-28;15; -   
2012-01-28;16; -   
2012-01-28;17; -   
2012-01-28;18; -   
2012-01-28;19; -   
2012-01-28;20; -   
2012-01-28;21; -   
2012-01-28;22; -   
2012-01-28;23; -   
2012-01-28;24; -   
2012-01-29;1; -   
2012-01-29;2; -   
2012-01-29;3; -   
2012-01-29;4; -   
2012-01-29;5; -   
2012-01-29;6; -   
2012-01-29;7; -   
2012-01-29;8; -   
2012-01-29;9; -   
2012-01-29;10; -   
2012-01-29;11; -   
2012-01-29;12; -   
2012-01-29;13; -   
2012-01-29;14; -   
2012-01-29;15; -   
2012-01-29;16; -   
2012-01-29;17; -   
2012-01-29;18; -   
2012-01-29;19; -   
2012-01-29;20; -   
2012-01-29;21; -   
2012-01-29;22; -   
2012-01-29;23; -   
2012-01-29;24; -   
2012-01-30;1; -   
2012-01-30;2; -   
2012-01-30;3; -   
2012-01-30;4; -   
2012-01-30;5; -   
2012-01-30;6; -   
2012-01-30;7; -   
2012-01-30;8; -   
2012-01-30;9; -   
2012-01-30;10; -   
2012-01-30;11; -   
2012-01-30;12; -   
2012-01-30;13; -   
2012-01-30;14; -   
2012-01-30;15; -   
2012-01-30;16; -   
2012-01-30;17; 0,188 
2012-01-30;18; 0,227 
2012-01-30;19; -   
2012-01-30;20; -   
2012-01-30;21; 0,201 
2012-01-30;22; 0,037 
2012-01-30;23; -   
2012-01-30;24; -   
2012-01-31;1; 0,233 
2012-01-31;2; -   
2012-01-31;3; -   
2012-01-31;4; 0,081 
2012-01-31;5; 0,147 
2012-01-31;6; -   
2012-01-31;7; -   
2012-01-31;8; 0,177 
2012-01-31;9; 0,042 
2012-01-31;10; -   
2012-01-31;11; -   
2012-01-31;12; -   
2012-01-31;13; -   
2012-01-31;14; -   
2012-01-31;15; -   
2012-01-31;16; -   
2012-01-31;17; 0,202 
2012-01-31;18; 0,121 
2012-01-31;19; -   
2012-01-31;20; -   
2012-01-31;21; 0,208 
2012-01-31;22; 0,007 
2012-01-31;23; -   
2012-01-31;24; 0,029 
2012-02-01;1; 0,189 
2012-02-01;2; -   
2012-02-01;3; -   
2012-02-01;4; 0,115 
2012-02-01;5; 0,098 
2012-02-01;6; -   
2012-02-01;7; -   
2012-02-01;8; 0,190 
2012-02-01;9; 0,016 
2012-02-01;10; -   
2012-02-01;11; 0,023 
2012-02-01;12; 0,184 
2012-02-01;13; -   
2012-02-01;14; -   
2012-02-01;15; 0,169 
2012-02-01;16; 0,052 
2012-02-01;17; -   
2012-02-01;18; 0,085 
2012-02-01;19; 0,129 
2012-02-01;20; -   
2012-02-01;21; -   
2012-02-01;22; 0,212 
2012-02-01;23; -   
2012-02-01;24; -   
2012-02-02;1; 0,100 
2012-02-02;2; 0,120 
2012-02-02;3; -   
2012-02-02;4; 0,003 
2012-02-02;5; 0,216 
2012-02-02;6; -   
2012-02-02;7; -   
2012-02-02;8; 0,171 
2012-02-02;9; 0,039 
2012-02-02;10; -   
2012-02-02;11; 0,048 
2012-02-02;12; 0,164 
2012-02-02;13; -   
2012-02-02;14; -   
2012-02-02;15; 0,210 
2012-02-02;16; 0,006 
2012-02-02;17; -   
2012-02-02;18; 0,071 
2012-02-02;19; 0,141 
2012-02-02;20; -   
2012-02-02;21; -   
2012-02-02;22; 0,198 
2012-02-02;23; 0,010 
2012-02-02;24; -   
2012-02-03;1; 0,042 
2012-02-03;2; 0,169 
2012-02-03;3; -   
2012-02-03;4; -   
2012-02-03;5; 0,136 
2012-02-03;6; 0,075 
2012-02-03;7; -   
2012-02-03;8; -   
2012-02-03;9; 0,202 
2012-02-03;10; -   
2012-02-03;11; -   
2012-02-03;12; 0,009 
2012-02-03;13; 0,196 
2012-02-03;14; -   
2012-02-03;15; -   
2012-02-03;16; 0,069 
2012-02-03;17; 0,135 
2012-02-03;18; -   
2012-02-03;19; -   
2012-02-03;20; 0,128 
2012-02-03;21; 0,076 
2012-02-03;22; -   
2012-02-03;23; -   
2012-02-03;24; 0,175 
2012-02-04;1; 0,031 
2012-02-04;2; -   
2012-02-04;3; -   
2012-02-04;4; 0,205 
2012-02-04;5; -   
2012-02-04;6; -   
2012-02-04;7; -   
2012-02-04;8; 0,202 
2012-02-04;9; -   
2012-02-04;10; -   
2012-02-04;11; 0,001 
2012-02-04;12; 0,197 
2012-02-04;13; -   
2012-02-04;14; -   
2012-02-04;15; 0,028 
2012-02-04;16; 0,169 
2012-02-04;17; -   
2012-02-04;18; -   
2012-02-04;19; 0,035 
2012-02-04;20; 0,158 
2012-02-04;21; -   
2012-02-04;22; -   
2012-02-04;23; 0,032 
2012-02-04;24; 0,164 
2012-02-05;1; -   
2012-02-05;2; -   
2012-02-05;3; 0,012 
2012-02-05;4; 0,186 
2012-02-05;5; -   
2012-02-05;6; -   
2012-02-05;7; -   
2012-02-05;8; 0,192 
2012-02-05;9; -   
2012-02-05;10; -   
2012-02-05;11; -   
2012-02-05;12; 0,192 
2012-02-05;13; -   
2012-02-05;14; -   
2012-02-05;15; -   
2012-02-05;16; 0,183 
2012-02-05;17; 0,006 
2012-02-05;18; -   
2012-02-05;19; -   
2012-02-05;20; 0,115 
2012-02-05;21; 0,078 
2012-02-05;22; -   
2012-02-05;23; -   
2012-02-05;24; 0,113 
2012-02-06;1; 0,084 
2012-02-06;2; -   
2012-02-06;3; -   
2012-02-06;4; 0,044 
2012-02-06;5; 0,152 
2012-02-06;6; -   
2012-02-06;7; -   
2012-02-06;8; 0,030 
2012-02-06;9; 0,164 
2012-02-06;10; -   
2012-02-06;11; -   
2012-02-06;12; -   
2012-02-06;13; 0,199 
2012-02-06;14; -   
2012-02-06;15; -   
2012-02-06;16; -   
2012-02-06;17; 0,187 
2012-02-06;18; 0,010 
2012-02-06;19; -   
2012-02-06;20; -   
2012-02-06;21; 0,077 
2012-02-06;22; 0,112 
2012-02-06;23; -   
2012-02-06;24; -   
2012-02-07;1; -   
2012-02-07;2; 0,196 
2012-02-07;3; -   
2012-02-07;4; -   
2012-02-07;5; -   
2012-02-07;6; 0,071 
2012-02-07;7; 0,123 
2012-02-07;8; -   
2012-02-07;9; -   
2012-02-07;10; -   
2012-02-07;11; 0,170 
2012-02-07;12; 0,028 
2012-02-07;13; -   
2012-02-07;14; -   
2012-02-07;15; -   
2012-02-07;16; 0,198 
2012-02-07;17; -   
2012-02-07;18; -   
2012-02-07;19; -   
2012-02-07;20; 0,025 
2012-02-07;21; 0,167 
2012-02-07;22; -   
2012-02-07;23; -   
2012-02-07;24; -   
2012-02-08;1; 0,042 
2012-02-08;2; 0,150 
2012-02-08;3; -   
2012-02-08;4; -   
2012-02-08;5; -   
2012-02-08;6; 0,069 
2012-02-08;7; 0,122 
2012-02-08;8; -   
2012-02-08;9; -   
2012-02-08;10; -   
2012-02-08;11; 0,064 
2012-02-08;12; 0,119 
2012-02-08;13; -   
2012-02-08;14; -   
2012-02-08;15; -   
2012-02-08;16; 0,093 
2012-02-08;17; 0,083 
2012-02-08;18; -   
2012-02-08;19; -   
2012-02-08;20; -   
2012-02-08;21; 0,097 
2012-02-08;22; 0,078 
2012-02-08;23; -   
2012-02-08;24; -   
2012-02-09;1; -   
2012-02-09;2; 0,102 
2012-02-09;3; 0,077 
2012-02-09;4; -   
2012-02-09;5; -   
2012-02-09;6; -   
2012-02-09;7; 0,079 
2012-02-09;8; 0,097 
2012-02-09;9; -   
2012-02-09;10; -   
2012-02-09;11; -   
2012-02-09;12; 0,057 
2012-02-09;13; 0,127 
2012-02-09;14; -   
2012-02-09;15; -   
2012-02-09;16; -   
2012-02-09;17; 0,093 
2012-02-09;18; 0,079 
2012-02-09;19; -   
2012-02-09;20; -   
2012-02-09;21; -   
2012-02-09;22; 0,117 
2012-02-09;23; 0,066 
2012-02-09;24; -   
2012-02-10;1; -   
2012-02-10;2; -   
2012-02-10;3; 0,123 
2012-02-10;4; 0,064 
2012-02-10;5; -   
2012-02-10;6; -   
2012-02-10;7; -   
2012-02-10;8; 0,093 
2012-02-10;9; 0,085 
2012-02-10;10; -   
2012-02-10;11; -   
2012-02-10;12; -   
2012-02-10;13; 0,028 
2012-02-10;14; 0,157 
2012-02-10;15; -   
2012-02-10;16; -   
2012-02-10;17; -   
2012-02-10;18; -   
2012-02-10;19; 0,175 
2012-02-10;20; -   
2012-02-10;21; -   
2012-02-10;22; -   
2012-02-10;23; -   
2012-02-10;24; 0,086 
2012-02-11;1; 0,088 
2012-02-11;2; -   
2012-02-11;3; -   
2012-02-11;4; -   
2012-02-11;5; -   
2012-02-11;6; 0,177 
2012-02-11;7; -   
2012-02-11;8; -   
2012-02-11;9; -   
2012-02-11;10; -   
2012-02-11;11; 0,111 
2012-02-11;12; 0,061 
2012-02-11;13; -   
2012-02-11;14; -   
2012-02-11;15; -   
2012-02-11;16; 0,027 
2012-02-11;17; 0,154 
2012-02-11;18; -   
2012-02-11;19; -   
2012-02-11;20; -   
2012-02-11;21; -   
2012-02-11;22; 0,188 
2012-02-11;23; -   
2012-02-11;24; -   
2012-02-12;1; -   
2012-02-12;2; -   
2012-02-12;3; 0,104 
2012-02-12;4; 0,087 
2012-02-12;5; -   
2012-02-12;6; -   
2012-02-12;7; -   
2012-02-12;8; -   
2012-02-12;9; 0,189 
2012-02-12;10; -   
2012-02-12;11; -   
2012-02-12;12; -   
2012-02-12;13; -   
2012-02-12;14; 0,055 
2012-02-12;15; 0,135 
2012-02-12;16; -   
2012-02-12;17; -   
2012-02-12;18; -   
2012-02-12;19; -   
2012-02-12;20; 0,162 
2012-02-12;21; 0,028 
2012-02-12;22; -   
2012-02-12;23; -   
2012-02-12;24; -   
2012-02-13;1; -   
2012-02-13;2; 0,191 
2012-02-13;3; -   
2012-02-13;4; -   
2012-02-13;5; -   
2012-02-13;6; -   
2012-02-13;7; 0,066 
2012-02-13;8; 0,117 
2012-02-13;9; -   
2012-02-13;10; -   
2012-02-13;11; -   
2012-02-13;12; -   
2012-02-13;13; 0,182 
2012-02-13;14; -   
2012-02-13;15; -   
2012-02-13;16; -   
2012-02-13;17; -   
2012-02-13;18; 0,122 
2012-02-13;19; 0,063 
2012-02-13;20; -   
2012-02-13;21; -   
2012-02-13;22; -   
2012-02-13;23; 0,184 
2012-02-13;24; -   
2012-02-14;1; -   
2012-02-14;2; -   
2012-02-14;3; -   
2012-02-14;4; 0,188 
2012-02-14;5; -   
2012-02-14;6; -   
2012-02-14;7; -   
2012-02-14;8; -   
2012-02-14;9; 0,170 
2012-02-14;10; 0,012 
2012-02-14;11; -   
2012-02-14;12; -   
2012-02-14;13; 0,011 
2012-02-14;14; 0,209 
2012-02-14;15; -   
